ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.ack,tcp.flags.reset,tcp.len,frame.len,frame.time,frame.time_relative,frame.protocols,frame.number,_ws.col.info,tcp.analysis.flags,tcp.analysis.retransmission,udp.length,http.request.method,http.request.uri,http.authbasic,http.user_agent,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.stream,tcp.urgent_pointer,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,udp.port,frame.time_delta,tcp.time_relative,tcp.time_delta
,,,,,,,,,"80","Apr  1, 2024 00:36:30.256488448 Turquie","0.000000000","sll:ethertype:ipv6:icmpv6","1","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000",,
,,,,,,,,,"62","Apr  1, 2024 00:36:32.469923391 Turquie","2.213434943","sll:ethertype:arp","2","Who has 192.168.1.3? Tell 192.168.1.1",,,,,,,,,,,,,,,,,,,,,,,,,"2.213434943",,
,,,,,,,,,"140","Apr  1, 2024 00:36:32.882160320 Turquie","2.625671872","sll:ethertype:ipv6:udp:dhcpv6","3","Solicit XID: 0x510b02 CID: 000440884315aa727eefd9aa363c970ecac3 ",,,"84",,,,,,,,,,,,,,,,,,,,,"546","0.412236929",,
,,,,,,,,,"80","Apr  1, 2024 00:36:33.942707409 Turquie","3.686218961","sll:ethertype:ipv6:icmpv6","4","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"1.060547089",,
"192.168.1.16","192.168.1.255",,,,,,,,"288","Apr  1, 2024 00:36:34.334191091 Turquie","4.077702643","sll:ethertype:ip:udp:nbdgm:smb:browser","5","Local Master Announcement METASPLOITABLE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Master Browser",,,"252",,,,,"272","True","False",,,,"64","17",,,,,,,,,"138","0.391483682",,
"192.168.1.16","192.168.1.255",,,,,,,,"259","Apr  1, 2024 00:36:34.334334876 Turquie","4.077846428","sll:ethertype:ip:udp:nbdgm:smb:browser","6","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum",,,"223",,,,,"243","True","False",,,,"64","17",,,,,,,,,"138","0.000143785",,
,,,,,,,,,"80","Apr  1, 2024 00:36:38.450627136 Turquie","8.194138688","sll:ethertype:ipv6:icmpv6","7","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"4.116292260",,
,,,,,,,,,"80","Apr  1, 2024 00:36:47.359269100 Turquie","17.102780652","sll:ethertype:ipv6:icmpv6","8","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"8.908641964",,
,,,,,,,,,"62","Apr  1, 2024 00:36:50.531253617 Turquie","20.274765169","sll:ethertype:arp","9","Who has 192.168.1.1? Tell 192.168.1.12",,,,,,,,,,,,,,,,,,,,,,,,,"3.171984517",,
,,,,,,,,,"80","Apr  1, 2024 00:36:55.858038631 Turquie","25.601550183","sll:ethertype:ipv6:icmpv6","10","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"5.326785014",,
